gene_id_human	gene_id_mouse	gene_name	heart_tpm_mouse	adrenal_gland_tpm_mouse	liver_tpm_mouse	muscle_tpm_mouse	brain_tpm_mouse	heart_tpm_human	adrenal_gland_tpm_human	liver_tpm_human	muscle_tpm_human	brain_tpm_human
ENSG00000162526	ENSMUSG00000000411	TSSK3	0.0	0.0	0.0	0.0	0.18	2.08770544961102	7.75124922312746	5.34234572212444	2.61888700218353	2.13330447179454
ENSG00000132155	ENSMUSG00000000441	RAF1	44.92	28.1	7.7	54.81	33.94	26.2979944304076	19.0968905059182	20.6436704447091	52.9523017687143	12.8755899843509
ENSG00000135503	ENSMUSG00000000532	ACVR1B	4.14	1.83	0.54	13.67	51.01	4.41909567894382	7.43535111946998	13.0624885637725	6.38921351261555	11.3198835057457
ENSG00000166484	ENSMUSG00000001034	MAPK7	2.3	4.79	0.13	1.92	9.74	4.28230126120617	15.241917245407	2.62845303599068	2.94747218886916	3.66000955757454
ENSG00000211455	ENSMUSG00000001630	STK38L	5.51	6.35	1.13	4.48	10.76	9.17995734886085	6.55040348243314	2.76484290293224	3.94243960171059	4.76556436094481
ENSG00000142208	ENSMUSG00000001729	AKT1	77.73	57.38	3.45	17.22	77.98	14.9805575527181	36.7729814516447	19.5913475907167	10.6348220731852	13.6102777489846
ENSG00000184343	ENSMUSG00000002007	SRPK3	9.63	0.23	0.0	12.56	3.44	10.5730651486758	13.1449894832943	0.649683123719069	24.5459613386515	15.2863095150224
ENSG00000130822	ENSMUSG00000002012	PNCK	4.29	3.32	0.0	4.46	46.08	1.18235832901675	0.381969324436712	0.0258220371494558	0.526155356839512	13.4054978465017
ENSG00000105053	ENSMUSG00000002205	VRK3	9.64	12.62	0.93	9.74	15.4	2.24997302133206	6.07278739018567	4.7602580576108	3.40405190394299	3.81466523932317
ENSG00000105204	ENSMUSG00000002409	DYRK1B	10.48	6.67	0.76	24.07	20.16	5.80609712397449	16.213654770847	3.14441755950415	53.2341636405328	12.5240418910059
ENSG00000184304	ENSMUSG00000002688	PRKD1	2.62	5.83	0.01	0.83	4.59	1.64879461954562	7.83283206073415	0.594221343446105	0.698953973061661	2.93609683358382
ENSG00000076984	ENSMUSG00000002948	MAP2K7	26.81	24.69	1.03	30.4	46.52	8.40610555362214	14.5010528756168	10.4519049304425	23.1859614189274	11.2682173214233
ENSG00000118046	ENSMUSG00000003068	STK11	51.12	48.02	7.76	71.5	50.81	9.09962386950596	17.6966077429233	9.3572085465626	22.0991487346326	11.0482417816656
ENSG00000167258	ENSMUSG00000003119	CDK12	7.33	12.27	2.12	6.29	19.56	2.53278992375895	5.93182797353768	3.91307844878004	2.65525758093398	2.22495167723303
ENSG00000198873	ENSMUSG00000003228	GRK5	11.42	14.74	0.24	1.02	7.16	10.5854703170212	7.16545226545911	3.00202991640112	3.03331915212345	4.11957918639008
ENSG00000133275	ENSMUSG00000003345	CSNK1G2	53.04	43.8	5.9	60.53	114.82	13.5962318352962	41.7066569572704	17.1101180117179	18.2971621308953	28.6676402417915
ENSG00000117676	ENSMUSG00000003644	RPS6KA1	1.78	3.46	0.44	1.69	7.55	0.993949899282998	10.0853987773084	3.32191576437369	0.539633017574412	3.39420281132134
ENSG00000105221	ENSMUSG00000004056	AKT2	67.87	78.03	6.19	94.39	52.09	9.24829389141083	18.0111727432979	15.9122133992135	21.1130057444026	9.06040843342854
ENSG00000065243	ENSMUSG00000004591	PKN2	15.91	18.77	3.41	24.12	16.14	5.0210157972506	14.5484383578745	6.07129346324915	5.56328541910646	4.80470449619022
ENSG00000083290	ENSMUSG00000004798	ULK2	18.49	8.86	4.21	38.31	35.17	2.33548958208833	4.75949351729281	0.9962748229568	3.49523588651514	9.94227512443213
ENSG00000156711	ENSMUSG00000004864	MAPK13	0.03	19.87	0.07	0.08	1.06	0.584226234070476	31.5611433976144	1.77136430023178	0.418944383082357	2.33487427579812
ENSG00000096063	ENSMUSG00000004865	SRPK1	13.59	19.02	1.49	11.28	44.25	3.46086446322959	5.00980002398926	6.2144637868908	7.90682860578242	5.21345456460501
ENSG00000169032	ENSMUSG00000004936	MAP2K1	20.86	25.48	3.76	25.63	135.14	13.6996367636354	22.0079298563727	21.6203195443412	32.558958618312	35.4697634508537
ENSG00000142875	ENSMUSG00000005034	PRKACB	26.6	31.2	3.81	17.55	196.79	4.44220187937349	6.55937843523671	3.04549724922727	1.90825717636005	48.556261419003
ENSG00000128829	ENSMUSG00000005102	EIF2AK4	2.06	5.09	0.59	1.55	10.2	3.05507627592756	4.78715281788219	3.26499335399284	4.45203642489111	4.06932188188388
ENSG00000183421	ENSMUSG00000005251	RIPK4	0.04	1.1	0.67	0.01	0.49	0.156319105580124	0.0488183464326622	10.1235400408615	0.0239173518196116	0.0315931804925686
ENSG00000072062	ENSMUSG00000005469	PRKACA	139.86	87.19	2.49	66.78	121.14	49.9519844099062	59.4844829263123	19.7682585800505	70.7566471754935	24.1233159342338
ENSG00000157404	ENSMUSG00000005672	KIT	1.14	1.2	0.43	0.53	15.66	0.567198032378012	0.359617950147374	0.303035731765243	0.488676828731466	5.28396162757922
ENSG00000135446	ENSMUSG00000006728	CDK4	32.85	43.1	4.11	19.18	38.46	19.5644093176726	59.6691535250181	17.712622026024	16.1532727532133	17.3379919243433
ENSG00000075413	ENSMUSG00000007411	MARK3	18.33	23.44	3.35	23.73	44.73	13.2225934231302	22.3934050950854	7.42986746091066	14.3660102712797	13.0851829716226
ENSG00000139908	ENSMUSG00000007591	TSSK4	0.17	0.18	0.01	0.04	0.41	0.652473090688036	2.0607831412027	0.488051156517764	0.577323110622478	1.20433841970625
ENSG00000106799	ENSMUSG00000007613	TGFBR1	5.46	10.45	1.67	11.11	9.83	3.52613220079237	5.48443667680144	4.08156626941817	4.34611667837661	3.37748691858009
ENSG00000163349	ENSMUSG00000008730	HIPK1	35.35	38.3	3.17	33.36	62.06	6.8598583093793	15.529248531577	5.44945726266437	11.8195175290724	11.3247636961231
ENSG00000136807	ENSMUSG00000009555	CDK9	9.03	22.88	2.12	8.44	44.88	18.4580170922497	59.2230550019943	29.9992003543614	16.3315945782586	37.6736279009669
ENSG00000163545	ENSMUSG00000009772	NUAK2	1.79	2.15	0.52	0.39	0.37	0.475986576525754	4.38326871647714	2.56205945679239	0.390699051028173	0.727327397668707
ENSG00000112144	ENSMUSG00000009828	CILK1	4.33	5.22	1.11	2.3	7.55	2.24260168439452	20.9088815661242	3.10126453671572	2.4057490950196	4.62612503051268
ENSG00000085511	ENSMUSG00000014426	MAP3K4	20.07	7.18	2.08	17.33	26.28	4.56024906009105	5.1878423597234	3.2624492473408	6.80410852463351	4.9776805583541
ENSG00000154237	ENSMUSG00000015133	LRRK1	3.86	3.81	0.8	1.31	2.35	0.715601548445377	1.23377932412722	0.339056080290258	0.402015985243183	0.964820837098747
ENSG00000146216	ENSMUSG00000015599	TTBK1	0.08	0.3	0.02	0.03	57.21	0.063197523259766	0.159007220105737	0.873129988353743	0.0083778305903797	9.74839068218034
ENSG00000165752	ENSMUSG00000015981	STK32C	0.37	1.01	0.02	0.04	83.23	1.48176985113758	5.32458832901747	0.818997555332996	2.12853129595066	11.329728660528
ENSG00000008118	ENSMUSG00000016179	CAMK1G	0.09	0.04	0.0	0.11	15.29	0.0504270860999945	1.18624834196918	0.132556041022196	0.0626131901139186	10.6035686695553
ENSG00000143479	ENSMUSG00000016526	DYRK3	0.08	2.21	0.14	0.0	3.58	3.7852640543203	1.19752321172008	1.00131252084834	0.310278199672707	0.698856852519508
ENSG00000162889	ENSMUSG00000016528	MAPKAPK2	128.16	62.04	3.25	106.51	12.99	74.8279060849088	58.3029856033074	26.0569787390238	82.2822630804711	13.5180904343344
ENSG00000160551	ENSMUSG00000017291	TAOK1	21.76	14.88	2.67	20.09	51.29	4.61275329052136	6.26500252202994	2.59258760403203	5.56555512636298	7.75393244628481
ENSG00000087095	ENSMUSG00000017376	NLK	5.31	12.18	0.81	4.47	42.5	4.4112645385447	22.952927333501	3.93782510448613	2.92777619614828	11.3434390010211
ENSG00000160602	ENSMUSG00000017405	NEK8	0.7	3.99	0.44	0.3	0.94	0.525715705932175	3.39304514210261	2.805224123084	0.318360024581104	0.992241431826592
ENSG00000101049	ENSMUSG00000017868	SGK2	0.0	0.0	4.27	0.0	0.59	0.18275825813825	0.705004126912048	24.0626655133403	0.114243966309111	1.31787317626111
ENSG00000101109	ENSMUSG00000018209	STK4	5.18	7.62	1.51	3.52	17.23	1.78376171844802	5.98380710115454	2.71072230299209	1.59374069417539	4.23425180563179
ENSG00000034152	ENSMUSG00000018932	MAP2K3	29.59	22.41	2.79	48.4	6.65	18.018924461216	18.708451243966	26.8493631976043	41.9292592622142	5.95050660397625
ENSG00000198208	ENSMUSG00000019235	RPS6KL1	0.86	0.41	0.03	0.19	16.89	2.33926223651608	1.02344815845609	0.782846509654085	4.13906287268339	7.73282202484219
ENSG00000117020	ENSMUSG00000019699	AKT3	6.81	8.24	0.31	4.7	123.44	4.40915447048118	9.42809370090709	1.47110960641549	2.94234190489264	14.1247429280482
ENSG00000118515	ENSMUSG00000019970	SGK1	32.15	47.2	2.27	79.27	49.24	7.54946285263891	39.8260116057823	12.5640707606476	3.86303081116648	8.11664242806548
ENSG00000059758	ENSMUSG00000020015	CDK17	5.43	9.18	1.85	2.54	121.23	3.69415461163769	5.01403500689405	3.29585980973904	3.3653323583147	12.7874860235783
ENSG00000074590	ENSMUSG00000020032	NUAK1	12.97	2.12	0.07	9.76	29.86	8.52827563449436	4.51114733741764	2.09992086196336	12.1795736804629	8.25598506846721
ENSG00000183735	ENSMUSG00000020115	TBK1	7.43	11.47	2.74	4.71	20.4	3.75758983617739	13.4171864752418	5.53694847053248	8.15375238323942	5.7719867971053
ENSG00000099875	ENSMUSG00000020190	MKNK2	74.63	103.41	9.61	101.77	17.84	34.3117649082948	58.3891185440174	39.8433393217344	509.472341797817	17.5544504871235
ENSG00000090376	ENSMUSG00000020227	IRAK3	1.31	1.46	0.12	0.58	0.78	2.99971805473656	3.81007036735837	0.930808225963029	1.36635762502392	0.954645527064762
ENSG00000072786	ENSMUSG00000020272	STK10	3.31	4.17	0.22	0.76	4.15	2.70486848548024	4.93867216439257	2.34132217943183	1.65970518814778	1.7768739312547
ENSG00000050748	ENSMUSG00000020366	MAPK9	17.09	19.27	2.81	26.98	107.18	5.54904401107801	9.0242963806616	3.70565899004872	8.18968964715167	18.0477027736056
ENSG00000113240	ENSMUSG00000020385	CLK4	10.82	27.19	12.61	16.76	42.34	4.36825373795666	7.34598367223154	5.60662967898683	8.09933250838908	6.36284250651637
ENSG00000006837	ENSMUSG00000020389	CDKL3	2.06	2.2	0.18	1.08	8.14	0.869454294431881	1.74254812133535	0.358335393603793	1.38783729070555	2.14733243427512
ENSG00000182541	ENSMUSG00000020451	LIMK2	6.1	4.7	0.78	4.49	44.14	4.21123331889371	9.55764572108147	7.40705717730056	5.42196957075127	10.8323674445252
ENSG00000108443	ENSMUSG00000020516	RPS6KB1	8.07	9.96	1.56	8.49	17.92	3.4105423495927	8.02482268845973	4.32816153514017	8.68658901567982	4.76468736721581
