epoch	split	label	label_value	mean_cosine_distance	n_pairs
0	train	P	1	0.004843503296767253	7451
0	train	N	0	0.004857508716022577	7246
0	validation	P	1	0.004983887672424316	100
0	validation	N	0	0.005679024863488895	97
1	train	P	1	0.3591907377403673	7451
1	train	N	0	0.3722072486353618	7246
1	validation	P	1	0.3508033776283264	100
1	validation	N	0	0.38560325829024167	97
2	train	P	1	0.3962743786289746	7451
2	train	N	0	0.41264815536810157	7246
2	validation	P	1	0.38552663087844846	100
2	validation	N	0	0.42074304143178093	97
3	train	P	1	0.41362958188953536	7451
3	train	N	0	0.43367566333236923	7246
3	validation	P	1	0.39725633382797243	100
3	validation	N	0	0.4336588456458652	97
4	train	P	1	0.41880334045979467	7451
4	train	N	0	0.4423626302323748	7246
4	validation	P	1	0.40066712617874145	100
4	validation	N	0	0.4383140667197631	97
5	train	P	1	0.41522557958470563	7451
5	train	N	0	0.4425198142531166	7246
5	validation	P	1	0.3934218299388885	100
5	validation	N	0	0.43375470097531976	97
6	train	P	1	0.43765666452514584	7451
6	train	N	0	0.46996247449238393	7246
6	validation	P	1	0.41477901697158814	100
6	validation	N	0	0.459805824092983	97
7	train	P	1	0.44095124383690115	7451
7	train	N	0	0.47794602715505147	7246
7	validation	P	1	0.4177067303657532	100
7	validation	N	0	0.4658488354732081	97
8	train	P	1	0.435308320812532	7451
8	train	N	0	0.47701852222256264	7246
8	validation	P	1	0.407314316034317	100
8	validation	N	0	0.45751804912213195	97
9	train	P	1	0.4340883910359992	7451
9	train	N	0	0.4806562217598688	7246
9	validation	P	1	0.40672053456306456	100
9	validation	N	0	0.45762225524666383	97
10	train	P	1	0.43308256754313934	7451
10	train	N	0	0.48593511299767156	7246
10	validation	P	1	0.4081529223918915	100
10	validation	N	0	0.4622502572757682	97
11	train	P	1	0.4422869002030306	7451
11	train	N	0	0.5027458649329181	7246
11	validation	P	1	0.41721138954162595	100
11	validation	N	0	0.47261439156286494	97
12	train	P	1	0.4367311226731258	7451
12	train	N	0	0.5020966798009512	7246
12	validation	P	1	0.41095088481903075	100
12	validation	N	0	0.4678896554966563	97
13	train	P	1	0.4301505929318839	7451
13	train	N	0	0.5030553734108391	7246
13	validation	P	1	0.4076033055782318	100
13	validation	N	0	0.4645692392722848	97
14	train	P	1	0.43748080364058856	7451
14	train	N	0	0.5206416171787525	7246
14	validation	P	1	0.4146526765823364	100
14	validation	N	0	0.474514243529015	97
15	train	P	1	0.43974453894792187	7451
15	train	N	0	0.5322506166840336	7246
15	validation	P	1	0.41870333075523375	100
15	validation	N	0	0.4823918932491971	97
