Gene stable ID version	Gene name	Mouse gene name	Mouse gene stable ID	Mouse homology type
ENSG00000132964.15	CDK8	Cdk8	ENSMUSG00000029635	ortholog_one2one
ENSG00000136098.21	NEK3	Nek3	ENSMUSG00000031478	ortholog_one2one
ENSG00000206203.5	TSSK2	Tssk2	ENSMUSG00000045521	ortholog_one2one
ENSG00000133083.17	DCLK1	Dclk1	ENSMUSG00000027797	ortholog_one2one
ENSG00000142178.11	SIK1	Sik1	ENSMUSG00000024042	ortholog_one2one
ENSG00000172680.1	MOS	Mos	ENSMUSG00000078365	ortholog_one2one
ENSG00000157540.24	DYRK1A	Dyrk1a	ENSMUSG00000022897	ortholog_one2one
ENSG00000147044.25	CASK	Cask	ENSMUSG00000031012	ortholog_one2one
ENSG00000142149.11	HUNK	Hunk	ENSMUSG00000053414	ortholog_one2one
ENSG00000130822.18	PNCK	Pnck	ENSMUSG00000002012	ortholog_one2one
ENSG00000150457.11	LATS2	Lats2	ENSMUSG00000021959	ortholog_one2one
ENSG00000160396.9	HIPK4	Hipk4	ENSMUSG00000040424	ortholog_one2one
ENSG00000146216.14	TTBK1	Ttbk1	ENSMUSG00000015599	ortholog_one2one
ENSG00000105723.13	GSK3A	Gsk3a	ENSMUSG00000057177	ortholog_one2one
ENSG00000184216.17	IRAK1	Irak1	ENSMUSG00000031392	ortholog_one2one
ENSG00000182541.20	LIMK2	Limk2	ENSMUSG00000020451	ortholog_one2one
ENSG00000197168.16	NEK5	Nek5	ENSMUSG00000037738	ortholog_one2one
ENSG00000101109.16	STK4	Stk4	ENSMUSG00000018209	ortholog_one2one
ENSG00000254598.3	CSNK2A3	Csnk2a1	ENSMUSG00000074698	ortholog_one2many
ENSG00000102572.17	STK24	Stk24	ENSMUSG00000063410	ortholog_one2one
ENSG00000183421.13	RIPK4	Ripk4	ENSMUSG00000005251	ortholog_one2one
ENSG00000101049.20	SGK2	Sgk2	ENSMUSG00000017868	ortholog_one2one
ENSG00000119408.19	NEK6	Nek6	ENSMUSG00000026749	ortholog_one2one
ENSG00000100077.18	GRK3	Grk3	ENSMUSG00000042249	ortholog_one2one
ENSG00000140992.22	PDPK1	Pdpk1	ENSMUSG00000024122	ortholog_one2one
ENSG00000185974.8	GRK1	Grk1	ENSMUSG00000031450	ortholog_one2one
ENSG00000105287.15	PRKD2	Prkd2	ENSMUSG00000041187	ortholog_one2one
ENSG00000188130.16	MAPK12	Mapk12	ENSMUSG00000022610	ortholog_one2one
ENSG00000101306.13	MYLK2	Mylk2	ENSMUSG00000027470	ortholog_one2one
ENSG00000173517.13	PEAK1	Peak1	ENSMUSG00000074305	ortholog_one2one
ENSG00000178950.20	GAK	Gak	ENSMUSG00000062234	ortholog_one2one
ENSG00000008086.14	CDKL5	Cdkl5	ENSMUSG00000031292	ortholog_one2one
ENSG00000141639.14	MAPK4	Mapk4	ENSMUSG00000024558	ortholog_one2one
ENSG00000105053.13	VRK3	Vrk3	ENSMUSG00000002205	ortholog_one2one
ENSG00000188906.19	LRRK2	Lrrk2	ENSMUSG00000036273	ortholog_one2one
ENSG00000101349.18	PAK5	Pak5	ENSMUSG00000039913	ortholog_one2one
ENSG00000196632.14	WNK3	Wnk3	ENSMUSG00000041245	ortholog_one2one
ENSG00000102096.11	PIM2	Pim2	ENSMUSG00000031155	ortholog_one2one
ENSG00000183943.8	PRKX	Prkx	ENSMUSG00000035725	ortholog_one2one
ENSG00000157404.19	KIT	Kit	ENSMUSG00000005672	ortholog_one2one
ENSG00000137764.22	MAP2K5	Map2k5	ENSMUSG00000058444	ortholog_one2one
ENSG00000118046.20	STK11	Stk11	ENSMUSG00000003068	ortholog_one2one
ENSG00000185386.17	MAPK11	Mapk11	ENSMUSG00000053137	ortholog_one2one
ENSG00000163558.15	PRKCI	Prkci	ENSMUSG00000037643	ortholog_one2one
ENSG00000187550.11	SBK2	Sbk2	ENSMUSG00000030433	ortholog_one2one
ENSG00000140795.15	MYLK3	Mylk3	ENSMUSG00000031698	ortholog_one2one
ENSG00000067900.10	ROCK1	Rock1	ENSMUSG00000024290	ortholog_one2one
ENSG00000212122.4	TSSK1B	Tssk1	ENSMUSG00000041566	ortholog_one2one
ENSG00000102882.14	MAPK3	Mapk3	ENSMUSG00000063065	ortholog_one2one
ENSG00000140474.16	ULK3	Ulk3	ENSMUSG00000032308	ortholog_one2one
ENSG00000155111.17	CDK19	Cdk19	ENSMUSG00000038481	ortholog_one2one
ENSG00000213923.15	CSNK1E	Csnk1e	ENSMUSG00000022433	ortholog_one2one
ENSG00000183765.26	CHEK2	Chek2	ENSMUSG00000029521	ortholog_one2one
ENSG00000183049.15	CAMK1D	Camk1d	ENSMUSG00000039145	ortholog_one2one
ENSG00000127564.19	PKMYT1	Pkmyt1	ENSMUSG00000023908	ortholog_one2one
ENSG00000136807.15	CDK9	Cdk9	ENSMUSG00000009555	ortholog_one2one
ENSG00000104375.19	STK3	Stk3	ENSMUSG00000022329	ortholog_one2one
ENSG00000185532.21	PRKG1	Prkg1	ENSMUSG00000052920	ortholog_one2one
ENSG00000149554.17	CHEK1	Chek1	ENSMUSG00000032113	ortholog_one2one
ENSG00000101255.15	TRIB3	Trib3	ENSMUSG00000032715	ortholog_one2one
ENSG00000135341.21	MAP3K7	Map3k7	ENSMUSG00000028284	ortholog_one2one
ENSG00000160145.17	KALRN	Kalrn	ENSMUSG00000061751	ortholog_one2one
ENSG00000154310.19	TNIK	Tnik	ENSMUSG00000027692	ortholog_one2one
ENSG00000125388.22	GRK4	Grk4	ENSMUSG00000052783	ortholog_one2one
ENSG00000112062.15	MAPK14	Mapk14	ENSMUSG00000053436	ortholog_one2one
ENSG00000010219.15	DYRK4	Dyrk4	ENSMUSG00000030345	ortholog_one2one
