gene_id_human	gene_id_mouse	gene_name	adrenal_gland_tpm_human	brain_tpm_human	muscle_tpm_human	heart_tpm_human	liver_tpm_human	adrenal_gland_tpm_mouse	brain_tpm_mouse	muscle_tpm_mouse	heart_tpm_mouse	liver_tpm_mouse
ENSG00000004660	ENSMUSG00000020785	CAMKK1	2.23	28.78	0.14	1.29	0.18	1.4	49.05	0.11	0.37	0.03
ENSG00000006062	ENSMUSG00000020941	MAP3K14	1.79	1.95	2.74	5.58	23.26	3.27	1.44	1.81	0.99	0.15
ENSG00000006432	ENSMUSG00000042724	MAP3K9	0.76	12.7	1.24	1.12	2.09	0.87	26.38	0.09	0.02	0.01
ENSG00000006837	ENSMUSG00000020389	CDKL3	0.67	3.83	0.46	3.05	0.13	2.2	8.14	1.08	2.06	0.18
ENSG00000007047	ENSMUSG00000030397	MARK4	4.03	25.11	6.95	21.34	17.51	11.24	32.37	8.28	8.59	0.19
ENSG00000008086	ENSMUSG00000031292	CDKL5	1.37	31.35	0.69	4.47	0.62	2.36	72.24	0.42	2.07	0.31
ENSG00000008118	ENSMUSG00000016179	CAMK1G	1.17	25.46	0.05	0.0	0.0	0.04	15.29	0.11	0.09	0.0
ENSG00000010219	ENSMUSG00000030345	DYRK4	9.25	8.03	3.46	13.01	8.31	0.04	0.08	0.0	0.0	0.0
ENSG00000011566	ENSMUSG00000024242	MAP4K3	11.61	17.15	5.09	23.1	13.7	12.74	29.49	4.94	9.89	2.56
ENSG00000012983	ENSMUSG00000034761	MAP4K5	26.66	20.16	3.98	5.2	20.89	8.54	19.89	9.24	7.77	1.69
ENSG00000013441	ENSMUSG00000026034	CLK1	19.07	42.73	18.11	14.5	25.42	41.86	46.03	10.61	17.34	17.72
ENSG00000027075	ENSMUSG00000021108	PRKCH	5.15	2.45	2.55	6.63	13.38	3.92	6.06	1.77	6.95	0.57
ENSG00000028116	ENSMUSG00000064090	VRK2	5.7	3.05	3.37	12.56	5.04	1.73	1.63	2.43	2.45	0.68
ENSG00000034152	ENSMUSG00000018932	MAP2K3	6.86	3.86	28.41	30.43	22.69	22.41	6.65	48.4	29.59	2.79
ENSG00000035664	ENSMUSG00000032380	DAPK2	1.47	4.57	0.35	9.8	29.26	1.54	1.15	14.97	1.61	1.04
ENSG00000038382	ENSMUSG00000022263	TRIO	11.5	73.76	13.86	29.2	12.43	14.2	95.11	11.82	16.18	1.94
